participante,kata,tratamento,issue,trial_id,arquivo,medido_em_utc,loc,sloc,lloc,comentarios,linhas_em_branco,funcoes_analisadas,complexidade_media,complexidade_maxima,indice_manutenibilidade,duplicacao_disponivel,duplicacao_percentual,linhas_duplicadas,linhas_analisadas_duplicacao
piloto_rq31,kata01_frete_progressivo,com_ia,31,,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata01_frete_progressivo\solucao.py,2026-09-14T00:40:27.828474+00:00,5,2,3,0,2,1,1.0,1,100.0,True,0.0,0,5
piloto_rq31,kata02_senha_corporativa,sem_ia,31,,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata02_senha_corporativa\solucao.py,2026-09-14T00:40:30.011936+00:00,5,2,3,0,2,1,1.0,1,100.0,True,0.0,0,5
piloto_rq31,kata03_deduplicador_contatos,com_ia,31,,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos\solucao.py,2026-09-14T00:40:32.208852+00:00,5,2,3,0,2,1,1.0,1,100.0,True,0.0,0,5
piloto_rq31,kata04_escalonador_turnos,sem_ia,31,,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata04_escalonador_turnos\solucao.py,2026-09-14T00:40:34.562505+00:00,5,2,3,0,2,1,1.0,1,100.0,True,0.0,0,5
piloto_rq31,kata05_conversor_estoque,com_ia,31,,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata05_conversor_estoque\solucao.py,2026-09-14T00:40:36.769296+00:00,5,2,3,0,2,1,1.0,1,100.0,True,0.0,0,5
piloto_rq31,kata06_cupom_fiscal,sem_ia,31,,C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata06_cupom_fiscal\solucao.py,2026-09-14T00:40:39.029880+00:00,5,2,3,0,2,1,1.0,1,100.0,True,0.0,0,0
