tratamento,n_trials,n_katas,complexidade_media_mediana,complexidade_media_iqr,complexidade_media_n,loc_mediana,loc_iqr,loc_n,duplicacao_percentual_mediana,duplicacao_percentual_iqr,duplicacao_percentual_n
com_ia,5,4,4.6667,3.5,5,31.0,18.0,5,,,0
sem_ia,5,4,3.3333,2.3333499999999994,5,31.0,35.0,5,,,0
