nome_repositorio,idade_anos,total_releases,status_rq21,analisado
skylot/jadx,13.42,35,ok,true
serhii-londar/open-source-mac-os-apps,8.79,0,ok,true
AlistGo/alist,5.65,149,ok,true
jgthms/bulma,10.57,22,ok,true
chenglou/pretext,0.45,0,ok,true
tldraw/tldraw,5.28,134,ok,true
huginn/huginn,13.44,1,ok,true
NARKOZ/hacker-scripts,10.74,0,ok,true
Lordog/dive-into-llms,2.36,1,ok,true
jakevdp/PythonDataScienceHandbook,10.02,0,ok,true
roboflow/supervision,3.72,40,ok,true
pandas-dev/pandas,15.99,122,ok,true
kelseyhightower/kubernetes-the-hard-way,10.12,0,ok,true
hashicorp/terraform,12.44,437,ok,true
ChromeDevTools/chrome-devtools-mcp,0.94,58,ok,true
ClickHouse/ClickHouse,10.21,828,ok,true
chen08209/FlClash,3.01,106,ok,true
astral-sh/ruff,4.03,423,ok,true
Homebrew/brew,10.45,509,ok,true
x64dbg/x64dbg,11.36,6,ok,true
GokuMohandas/Made-With-ML,7.79,1,ok,true
stablyai/orca,0.42,932,ok,true
apple/container,1.22,20,ok,true
JuliaLang/julia,15.33,203,ok,true
bigskysoftware/htmx,6.35,32,ok,true
calesthio/OpenMontage,0.39,0,ok,true
metabase/metabase,11.54,817,ok,true
akullpp/awesome-java,12.11,0,ok,true
tmux/tmux,11.21,44,ok,true
algorithm-visualizer/algorithm-visualizer,10.26,0,ok,true
iamkun/dayjs,8.36,129,ok,true
DovAmir/awesome-design-patterns,8.21,0,ok,true
upscayl/upscayl,4.05,29,ok,true
mudler/LocalAI,3.42,135,ok,true
KRTirtho/spotube,5.51,44,ok,true
nilbuild/design-patterns-for-humans,9.5,0,ok,true
type-challenges/type-challenges,6.07,0,ok,true
Aider-AI/aider,3.28,93,ok,true
brillout/awesome-react-components,10.15,0,ok,true
ReactiveX/RxJava,13.61,267,ok,true
slidevjs/slidev,5.32,430,ok,true
moeru-ai/airi,1.71,81,ok,true
pixijs/pixijs,13.57,308,ok,true
hugohe3/ppt-master,0.69,22,ok,true
router-for-me/CLIProxyAPI,1.13,818,ok,true
moment/moment,15.47,1,ok,true
karan/Projects,13.13,0,ok,true
HKUDS/CLI-Anything,0.45,3,ok,true
calcom/cal.diy,5.41,611,ok,true
microsoft/qlib,6.01,23,ok,true
gogs/gogs,12.51,98,ok,true
minimaxir/big-list-of-naughty-strings,11.03,0,ok,true
bevyengine/bevy,6.58,58,ok,true
discourse/discourse,13.6,1,ok,true
lukasz-madon/awesome-remote-job,11.63,0,ok,true
prisma/prisma,7.16,254,ok,true
oobabooga/textgen,3.66,113,ok,true
GitHubDaily/GitHubDaily,7.64,0,ok,true
acmesh-official/acme.sh,10.65,48,ok,true
jeecgboot/JeecgBoot,7.73,64,ok,true
dypsilon/frontend-dev-bookmarks,13.16,1,ok,true
coreybutler/nvm-windows,11.91,23,ok,true
slab/quill,14.05,95,ok,true
rohitg00/ai-engineering-from-scratch,0.42,2,ok,true
HKUDS/nanobot,0.54,19,ok,true
typescript-cheatsheets/react,8.21,0,ok,true
lysine-dev/okhttp,14.07,0,ok,true
elder-plinius/CL4R1T4S,1.46,0,ok,true
gedoor/legado,7.24,0,ok,true
KeygraphHQ/shannon,0.89,19,ok,true
v2ray/v2ray-core,10.96,247,ok,true
serverless/serverless,11.33,494,ok,true
exo-explore/exo,2.15,16,ok,true
multica-ai/multica,0.6,142,ok,true
kepano/obsidian-skills,0.63,0,ok,true
Asabeneh/30-Days-Of-JavaScript,6.66,0,ok,true
hiroi-sora/Umi-OCR,4.39,31,ok,true
SimplifyJobs/Summer2027-Internships,6.24,0,ok,true
zhayujie/CowAgent,4.03,80,ok,true
microsoft/monaco-editor,10.2,189,ok,true
apache/airflow,11.35,126,ok,true
usebruno/bruno,3.89,171,ok,true
LeCoupa/awesome-cheatsheets,8.77,0,ok,true
9001/copyparty,7.23,346,ok,true
Alishahryar1/free-claude-code,0.56,0,ok,true
docker/awesome-compose,6.51,0,ok,true
ziishaned/learn-regex,9.08,0,ok,true
iina/iina,9.66,51,ok,true
RocketChat/Rocket.Chat,11.25,1267,ok,true
jgm/pandoc,16.42,158,ok,true
coqui-ai/TTS,6.25,98,ok,true
siyuan-note/siyuan,5.97,944,ok,true
cli/cli,6.88,200,ok,true
helix-editor/helix,6.21,30,ok,true
DavidHDev/react-bits,2.03,0,ok,true
DIYgod/RSSHub,8.38,0,ok,true
android/architecture-samples,10.54,0,ok,true
zhongyang219/TrafficMonitor,9.05,27,ok,true
milvus-io/milvus,6.92,170,ok,true
google/zx,5.29,100,ok,true
karanpratapsingh/system-design,4.01,0,ok,true
QuantumNous/new-api,2.77,512,ok,true
abhigyanpatwari/GitNexus,1.05,753,ok,true
streamlit/streamlit,6.99,126,ok,true
ColorlibHQ/AdminLTE,12.65,97,ok,true
Leaflet/Leaflet,15.91,34,ok,true
jestjs/jest,12.69,217,ok,true
isocpp/CppCoreGuidelines,11,4,ok,true
grpc/grpc,11.7,375,ok,true
sickn33/agentic-awesome-skills,0.59,188,ok,true
GitSquared/edex-ui,9.56,29,ok,true
pyenv/pyenv,13.97,165,ok,true
fastapi/full-stack-fastapi-template,7.49,15,ok,true
MHSanaei/3x-ui,3.52,124,ok,true
coreyhaines31/marketingskills,0.59,39,ok,true
react-hook-form/react-hook-form,7.46,618,ok,true
meteor/meteor,14.58,0,ok,true
DataTalksClub/data-engineering-zoomcamp,4.83,0,ok,true
sudheerj/reactjs-interview-questions,8.22,0,ok,true
mitmproxy/mitmproxy,16.5,81,ok,true
vercel/hyper,10.13,88,ok,true
files-community/Files,7.62,141,ok,true
vnpy/vnpy,11.47,67,ok,true
getsentry/sentry,15.97,176,ok,true
logseq/logseq,6.24,153,ok,true
spf13/cobra,12.96,27,ok,true
charmbracelet/bubbletea,6.61,80,ok,true
paperless-ngx/paperless-ngx,4.51,156,ok,true
NaiboWang/EasySpider,6.09,11,ok,true
AykutSarac/jsoncrack.com,4.55,23,ok,true
payloadcms/payload,5.62,574,ok,true
sharkdp/fd,9.28,44,ok,true
janhq/jan,3.01,104,ok,true
parcel-bundler/parcel,9.03,52,ok,true
streamich/react-use,7.81,257,ok,true
