trial_id,participante,kata,tratamento,issue,inicio_utc,fim_utc,duracao_segundos,limite_segundos,status,sucesso,censurado,verificacoes,ultimo_codigo_testes,comando_testes,diretorio
c4f8a07e-78db-4bc6-a243-bb2d70d8e483,bblop,kata01_frete_progressivo,com_ia,32,2026-09-15T19:53:09.380646+00:00,2026-09-15T19:53:51.825913+00:00,42.438,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata01_frete_progressivo
8f2bd412-1fb9-4228-a4ca-d5e8e03583f9,bblop,kata03_deduplicador_contatos,com_ia,36,2026-09-16T22:44:10.068718+00:00,2026-09-16T22:44:37.899512+00:00,27.828,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos
74119062-092a-4dfa-afad-568b63999833,Joao_Pedro,kata03_deduplicador_contatos,sem_ia,42,2026-09-17T01:51:00.063255+00:00,2026-09-17T02:15:04.230362+00:00,1444.171,2100.0,sucesso,True,False,1,0,"[""C:\\Users\\João\\AppData\\Local\\Programs\\Python\\Python311\\python.exe"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\João\Documents\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos
74119062-092a-4dfa-afad-568b63999833,Joao_Pedro,kata03,sem_ia,42,2026-09-17T01:51:00.063255+00:00,2026-09-17T02:15:04.230362+00:00,1444.171,2100.0,sucesso,True,False,1,0,"[""C:\\Users\\João\\AppData\\Local\\Programs\\Python\\Python311\\python.exe"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\João\Documents\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos
1b0baab8-45ad-497d-b67a-1920d27caaf2,bblop,kata02_calculo_estacionamento,sem_ia,<ISSUE>,2026-09-23T23:27:30.896440+00:00,2026-09-23T23:27:31.156824+00:00,0.266,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata02_calculo_estacionamento
2a995e85-9ef4-4003-a9e8-08e11c9ff88e,bblop,kata04_calculo_tarifa_energia,sem_ia,<ISSUE>,2026-09-23T23:27:47.907194+00:00,2026-09-23T23:29:20.928728+00:00,93.016,2100.0,sucesso,True,False,2,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia
759e6fc4-a722-42d0-a883-0346934b94a0,bblop,kata02_calculo_estacionamento,sem_ia,<ISSUE>,2026-09-23T23:30:09.346731+00:00,2026-09-23T23:30:09.645182+00:00,0.297,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata02_calculo_estacionamento
eb37c024-0acc-4c0f-85cc-28e8635b7a08,bblop,kata04_calculo_tarifa_energia,sem_ia,<ISSUE>,2026-09-23T23:30:27.067425+00:00,2026-09-23T23:30:27.352493+00:00,0.281,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia
2d7f4589-1640-4201-add9-13252095a77b,bblop,kata04_calculo_tarifa_energia,sem_ia,47,2026-09-23T23:41:52.715124+00:00,2026-09-23T23:41:52.991192+00:00,0.281,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\bblop\Downloads\metrica-software\metrica-software-main\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia
a3639fe7-e3eb-41bf-883b-ef2da981b564,Arthur,kata01_frete_progressivo,sem_ia,37,2026-09-23T23:59:37.743221+00:00,2026-09-24T00:12:49.991577+00:00,792.248296,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata01_frete_progressivo
13cee879-f4ab-4c50-814f-62f3ab70b005,Arthur,kata03_deduplicador_contatos,sem_ia,39,2026-09-24T00:18:23.119238+00:00,2026-09-24T00:31:25.448534+00:00,782.329227,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\arthurbacelete_frwk\Desktop\Repositorios PUC MG\metrica-software\codigo-fonte\sprint-02\katas\kata03_deduplicador_contatos
2fd701b3-9f0b-4f05-a2b8-bddb93ba4d20,Joao_Pedro,kata04_calculo_tarifa_energia,com_ia,49,2026-09-24T01:20:11.780801+00:00,2026-09-24T01:21:24.029461+00:00,72.25,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\João\Documents\metrica-software\codigo-fonte\sprint-02\katas\kata04_calculo_tarifa_energia
0df5d1fd-d623-4967-a0bf-28372bc7b411,Joao_Pedro,kata02_calculo_estacionamento,sem_ia,41,2026-09-24T01:22:48.128892+00:00,2026-09-24T01:31:12.120350+00:00,503.984,2100.0,sucesso,True,False,1,0,"[""python"", ""-m"", ""unittest"", ""discover"", ""-s"", ""testes""]",C:\Users\João\Documents\metrica-software\codigo-fonte\sprint-02\katas\kata02_calculo_estacionamento
